flowid,seq,Node,retransmission,ack,time
0,0,1,0,False,2.705054469182346
0,0,2,0,False,5.3050544691823465
0,0,9,0,False,7.905054469182346
0,0,10,0,False,10.505054469182346
0,0,6,0,False,13.105054469182345
0,0,7,0,False,15.705054469182345
0,0,7,0,True,15.705054469182345
0,0,6,0,True,18.305054469182345
0,0,5,0,True,20.905054469182346
0,0,4,0,True,23.505054469182348
0,0,3,0,True,26.10505446918235
0,0,2,0,True,28.70505446918235
0,0,1,0,True,31.305054469182352
0,1,1,0,False,31.305054469182352
0,1,2,0,False,33.90505446918235
0,1,9,0,False,36.505054469182355
0,1,10,0,False,39.105054469182356
0,1,6,0,False,41.70505446918236
0,1,7,0,False,44.30505446918236
0,1,7,0,True,44.30505446918236
0,1,6,0,True,46.90505446918236
0,1,5,0,True,49.50505446918236
0,1,4,0,True,52.10505446918236
0,1,3,0,True,54.705054469182365
0,1,2,0,True,57.305054469182366
0,1,1,0,True,59.90505446918237
0,2,1,0,False,31.808113398671516
0,2,2,0,False,35.505054469182355
0,2,9,0,False,38.105054469182356
0,2,10,0,False,40.70505446918236
0,2,6,0,False,43.30505446918236
0,2,7,0,False,45.90505446918236
0,2,7,0,True,45.90505446918236
0,2,6,0,True,48.50505446918236
0,2,5,0,True,51.10505446918236
0,2,4,0,True,53.705054469182365
0,2,3,0,True,56.305054469182366
0,2,2,0,True,58.90505446918237
0,2,1,0,True,61.50505446918237
0,3,1,0,False,59.90505446918237
0,3,2,0,False,62.50505446918237
0,3,9,0,False,65.10505446918236
0,3,10,0,False,67.70505446918236
0,3,6,0,False,70.30505446918235
0,3,7,0,False,72.90505446918235
0,3,7,0,True,72.90505446918235
0,3,6,0,True,75.50505446918234
0,3,5,0,True,78.10505446918233
0,3,4,0,True,80.70505446918233
0,3,3,0,True,83.30505446918232
0,3,2,0,True,85.90505446918232
0,3,1,0,True,88.50505446918231
0,4,1,0,False,60.39583288644697
0,4,2,0,False,64.10505446918236
0,4,9,0,False,66.70505446918236
0,4,10,0,False,69.30505446918235
0,4,6,0,False,71.90505446918235
0,4,7,0,False,74.50505446918234
0,4,7,0,True,74.50505446918234
